module_name,class_name,method_name,startLine,CBM,m_FAN_IN,m_FAN_OUT,IDMC,EDMC,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifier
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readEnum,278,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readSFixed32,287,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readSFixed64,295,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readSInt32,303,0,0,0,0,0,False,0,1,1,0,1
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readSInt64,312,0,0,0,0,0,False,0,1,1,0,1
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readString,321,0,0,0,0,0,False,0,1,1,0,2
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readBytes,339,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readByteArray,344,0,0,0,0,0,False,0,1,1,0,2
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.mergeObject,363,0,0,0,0,0,False,0,2,2,0,2
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readRawVarint32,387,0,0,0,0,0,False,0,0,0,0,3
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readRawVarint64,424,0,0,0,0,0,False,0,0,0,0,5
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readRawLittleEndian32,445,0,0,0,0,0,False,0,0,0,0,6
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readRawLittleEndian64,465,0,0,0,0,0,False,0,0,0,0,10
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readByteBuffer,493,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.getArrayBuilders,501,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedInt32,509,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedUInt32,515,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedSInt32,521,0,0,0,0,0,False,0,2,2,0,1
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedFixed32,528,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedSFixed32,534,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedInt64,540,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedUInt64,546,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedSInt64,552,0,0,0,0,0,False,0,2,2,0,1
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedFixed64,559,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedSFixed64,565,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedFloat,571,0,0,0,0,0,False,0,2,2,0,0
